PING 8.8.8.8 (8.8.8.8) 1400(1428) bytes of data.
1408 bytes from 8.8.8.8: icmp_seq=331 ttl=117 time=33.0 ms
1408 bytes from 8.8.8.8: icmp_seq=332 ttl=117 time=89.1 ms
1408 bytes from 8.8.8.8: icmp_seq=333 ttl=117 time=136 ms
1408 bytes from 8.8.8.8: icmp_seq=334 ttl=117 time=46.6 ms
1408 bytes from 8.8.8.8: icmp_seq=335 ttl=117 time=82.5 ms
1408 bytes from 8.8.8.8: icmp_seq=336 ttl=117 time=28.8 ms
1408 bytes from 8.8.8.8: icmp_seq=337 ttl=117 time=38.5 ms
1408 bytes from 8.8.8.8: icmp_seq=338 ttl=117 time=34.7 ms
1408 bytes from 8.8.8.8: icmp_seq=339 ttl=117 time=37.4 ms
1408 bytes from 8.8.8.8: icmp_seq=340 ttl=117 time=70.7 ms
1408 bytes from 8.8.8.8: icmp_seq=341 ttl=117 time=43.9 ms
1408 bytes from 8.8.8.8: icmp_seq=342 ttl=117 time=69.6 ms
1408 bytes from 8.8.8.8: icmp_seq=343 ttl=117 time=103 ms
1408 bytes from 8.8.8.8: icmp_seq=344 ttl=117 time=73.6 ms
1408 bytes from 8.8.8.8: icmp_seq=345 ttl=117 time=103 ms
1408 bytes from 8.8.8.8: icmp_seq=346 ttl=117 time=131 ms
1408 bytes from 8.8.8.8: icmp_seq=347 ttl=117 time=38.7 ms
1408 bytes from 8.8.8.8: icmp_seq=348 ttl=117 time=50.6 ms
1408 bytes from 8.8.8.8: icmp_seq=349 ttl=117 time=46.0 ms
1408 bytes from 8.8.8.8: icmp_seq=350 ttl=117 time=89.0 ms
1408 bytes from 8.8.8.8: icmp_seq=351 ttl=117 time=35.9 ms
1408 bytes from 8.8.8.8: icmp_seq=352 ttl=117 time=149 ms
1408 bytes from 8.8.8.8: icmp_seq=353 ttl=117 time=88.5 ms
1408 bytes from 8.8.8.8: icmp_seq=354 ttl=117 time=56.2 ms
1408 bytes from 8.8.8.8: icmp_seq=355 ttl=117 time=37.4 ms
