Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_162822/scenario_7_UploadStress.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_162822/scenario_7_UploadStress.mi2log

  [1.4s] 12710 bytes, 80 packets decoded
  [1.4s] 12774 bytes, 80 packets decoded
  [1.4s] 12838 bytes, 81 packets decoded
  [1.4s] 12902 bytes, 81 packets decoded
  [1.4s] 12966 bytes, 81 packets decoded
  [1.4s] 13030 bytes, 81 packets decoded
  [1.4s] 13094 bytes, 81 packets decoded
  [1.4s] 13158 bytes, 81 packets decoded
  [1.4s] 13222 bytes, 81 packets decoded
  [1.4s] 13286 bytes, 81 packets decoded
  [1.4s] 13350 bytes, 82 packets decoded
  [1.4s] 13414 bytes, 82 packets decoded
  [1.4s] 13478 bytes, 82 packets decoded
  [1.4s] 13542 bytes, 82 packets decoded
  [1.4s] 13606 bytes, 82 packets decoded
  [1.4s] 13670 bytes, 82 packets decoded
  [1.4s] 13734 bytes, 82 packets decoded
  [1.4s] 13798 bytes, 82 packets decoded
  [1.4s] 13862 bytes, 82 packets decoded
  [1.4s] 13926 bytes, 82 packets decoded
  [1.4s] 13990 bytes, 82 packets decoded
  [1.4s] 14054 bytes, 82 packets decoded
  [1.4s] 14118 bytes, 82 packets decoded
  [1.4s] 14182 bytes, 82 packets decoded
  [1.4s] 14246 bytes, 82 packets decoded
  [1.4s] 14310 bytes, 83 packets decoded
  [1.4s] 14374 bytes, 83 packets decoded
  [1.4s] 14438 bytes, 83 packets decoded
  [1.4s] 14502 bytes, 84 packets decoded
  [1.4s] 14566 bytes, 84 packets decoded
  [1.4s] 14630 bytes, 84 packets decoded
  [1.4s] 14694 bytes, 85 packets decoded
  [1.4s] 14758 bytes, 85 packets decoded
  [1.4s] 14822 bytes, 85 packets decoded
  [1.4s] 14886 bytes, 85 packets decoded
  [1.4s] 14950 bytes, 85 packets decoded
  [1.4s] 15014 bytes, 85 packets decoded
  [1.4s] 15078 bytes, 85 packets decoded
  [1.4s] 15142 bytes, 86 packets decoded
  [1.4s] 15206 bytes, 86 packets decoded
  [1.4s] 15270 bytes, 86 packets decoded
  [1.4s] 15334 bytes, 86 packets decoded
  [1.4s] 15398 bytes, 86 packets decoded
  [1.4s] 15462 bytes, 86 packets decoded
  [1.4s] 15526 bytes, 87 packets decoded
  [1.4s] 15590 bytes, 87 packets decoded
  [1.4s] 15654 bytes, 87 packets decoded
  [1.4s] 15718 bytes, 87 packets decoded
  [1.4s] 15782 bytes, 87 packets decoded
  [1.4s] 15846 bytes, 87 packets decoded
  [1.4s] 15910 bytes, 87 packets decoded
  [1.4s] 15974 bytes, 88 packets decoded
  [1.4s] 16038 bytes, 89 packets decoded
  [1.4s] 16102 bytes, 89 packets decoded
  [1.4s] 16166 bytes, 90 packets decoded
  [1.4s] 16230 bytes, 90 packets decoded
  [1.4s] 16294 bytes, 91 packets decoded
  [1.4s] 16358 bytes, 92 packets decoded
  [1.4s] 16422 bytes, 92 packets decoded
  [1.4s] 16486 bytes, 92 packets decoded
  [1.4s] 16550 bytes, 92 packets decoded
  [1.4s] 16614 bytes, 92 packets decoded
  [1.4s] 16678 bytes, 92 packets decoded
  [1.4s] 16742 bytes, 93 packets decoded
  [1.5s] 16773 bytes, 94 packets decoded
  [1.8s] 16837 bytes, 95 packets decoded
  [1.8s] 16901 bytes, 95 packets decoded
  [1.8s] 16965 bytes, 95 packets decoded
  [1.8s] 17029 bytes, 96 packets decoded
  [1.8s] 17093 bytes, 97 packets decoded
  [1.8s] 17157 bytes, 97 packets decoded
  [1.8s] 17221 bytes, 98 packets decoded
  [1.8s] 17285 bytes, 99 packets decoded
  [1.8s] 17349 bytes, 100 packets decoded
  [1.8s] 17413 bytes, 100 packets decoded
  [1.8s] 17477 bytes, 100 packets decoded
  [1.8s] 17541 bytes, 101 packets decoded
  [1.8s] 17605 bytes, 101 packets decoded
  [1.8s] 17669 bytes, 102 packets decoded
  [1.8s] 17733 bytes, 102 packets decoded
  [1.8s] 17797 bytes, 102 packets decoded
  [1.8s] 17861 bytes, 102 packets decoded
  [1.8s] 17925 bytes, 102 packets decoded
  [1.8s] 17989 bytes, 102 packets decoded
  [1.8s] 18053 bytes, 102 packets decoded
  [1.8s] 18117 bytes, 102 packets decoded
  [1.8s] 18181 bytes, 102 packets decoded
  [1.8s] 18245 bytes, 102 packets decoded
  [1.8s] 18309 bytes, 102 packets decoded
  [1.8s] 18373 bytes, 102 packets decoded
  [1.8s] 18437 bytes, 102 packets decoded
  [1.8s] 18501 bytes, 102 packets decoded
  [1.8s] 18565 bytes, 102 packets decoded
  [1.8s] 18629 bytes, 102 packets decoded
  [1.8s] 18693 bytes, 102 packets decoded
  [1.8s] 18757 bytes, 102 packets decoded
  [1.8s] 18821 bytes, 102 packets decoded
  [1.8s] 18885 bytes, 102 packets decoded
  [1.8s] 18949 bytes, 102 packets decoded
  [1.8s] 19013 bytes, 102 packets decoded
  [1.8s] 19077 bytes, 102 packets decoded
  [1.8s] 19141 bytes, 102 packets decoded
  [1.8s] 19205 bytes, 102 packets decoded
  [1.8s] 19269 bytes, 103 packets decoded
  [1.8s] 19333 bytes, 104 packets decoded
  [1.9s] 19369 bytes, 105 packets decoded
  [2.6s] 19433 bytes, 106 packets decoded
  [2.6s] 19497 bytes, 106 packets decoded
  [2.6s] 19561 bytes, 106 packets decoded
  [2.6s] 19625 bytes, 106 packets decoded
  [2.6s] 19689 bytes, 107 packets decoded
  [2.6s] 19753 bytes, 108 packets decoded
  [2.6s] 19817 bytes, 108 packets decoded
  [2.6s] 19881 bytes, 109 packets decoded
  [2.6s] 19945 bytes, 110 packets decoded
  [2.6s] 20009 bytes, 110 packets decoded
  [2.6s] 20073 bytes, 110 packets decoded
  [2.6s] 20137 bytes, 111 packets decoded
  [2.6s] 20201 bytes, 112 packets decoded
  [2.6s] 20265 bytes, 113 packets decoded
  [2.6s] 20329 bytes, 114 packets decoded
  [2.6s] 20393 bytes, 115 packets decoded
  [2.6s] 20457 bytes, 116 packets decoded
  [2.6s] 20521 bytes, 117 packets decoded
  [2.6s] 20585 bytes, 118 packets decoded
  [2.6s] 20649 bytes, 118 packets decoded
  [2.6s] 20713 bytes, 118 packets decoded
  [2.6s] 20777 bytes, 119 packets decoded
  [2.6s] 20841 bytes, 119 packets decoded
  [2.6s] 20905 bytes, 120 packets decoded
  [2.6s] 20969 bytes, 120 packets decoded
  [2.6s] 21033 bytes, 121 packets decoded
  [2.6s] 21097 bytes, 122 packets decoded
  [2.6s] 21161 bytes, 122 packets decoded
  [2.6s] 21225 bytes, 123 packets decoded
  [2.6s] 21289 bytes, 124 packets decoded
  [2.6s] 21353 bytes, 125 packets decoded
  [2.6s] 21417 bytes, 125 packets decoded
  [2.6s] 21481 bytes, 126 packets decoded
  [2.6s] 21545 bytes, 127 packets decoded
  [2.6s] 21609 bytes, 128 packets decoded
  [2.6s] 21673 bytes, 129 packets decoded
  [2.6s] 21737 bytes, 130 packets decoded
  [2.6s] 21801 bytes, 131 packets decoded
  [2.6s] 21865 bytes, 131 packets decoded
  [2.6s] 21929 bytes, 132 packets decoded
  [2.6s] 21993 bytes, 133 packets decoded
  [2.6s] 22057 bytes, 133 packets decoded
  [2.6s] 22121 bytes, 134 packets decoded
  [2.6s] 22185 bytes, 135 packets decoded
  [2.7s] 22244 bytes, 136 packets decoded
  [2.8s] 22308 bytes, 137 packets decoded
  [2.8s] 22372 bytes, 138 packets decoded
  [2.9s] 22417 bytes, 139 packets decoded
  [3.0s] 22481 bytes, 139 packets decoded
  [3.0s] 22545 bytes, 140 packets decoded
  [3.0s] 22609 bytes, 140 packets decoded
