Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_162509/scenario_1_Browsing.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_162509/scenario_1_Browsing.mi2log

  [1.5s] 11445 bytes, 74 packets decoded
  [1.5s] 11509 bytes, 75 packets decoded
  [1.5s] 11573 bytes, 75 packets decoded
  [1.5s] 11637 bytes, 75 packets decoded
  [1.5s] 11701 bytes, 76 packets decoded
  [1.5s] 11765 bytes, 76 packets decoded
  [1.5s] 11829 bytes, 77 packets decoded
  [1.5s] 11893 bytes, 77 packets decoded
  [1.5s] 11957 bytes, 77 packets decoded
  [1.5s] 12021 bytes, 78 packets decoded
  [1.5s] 12085 bytes, 78 packets decoded
  [1.5s] 12149 bytes, 78 packets decoded
  [1.5s] 12213 bytes, 79 packets decoded
  [1.5s] 12277 bytes, 79 packets decoded
  [1.5s] 12341 bytes, 79 packets decoded
  [1.5s] 12405 bytes, 79 packets decoded
  [1.5s] 12469 bytes, 80 packets decoded
  [1.5s] 12533 bytes, 80 packets decoded
  [1.5s] 12597 bytes, 81 packets decoded
  [1.5s] 12661 bytes, 81 packets decoded
  [1.5s] 12725 bytes, 81 packets decoded
  [1.5s] 12789 bytes, 81 packets decoded
  [1.5s] 12853 bytes, 81 packets decoded
  [1.5s] 12917 bytes, 81 packets decoded
  [1.5s] 12981 bytes, 81 packets decoded
  [1.5s] 13045 bytes, 81 packets decoded
  [1.5s] 13109 bytes, 81 packets decoded
  [1.5s] 13173 bytes, 81 packets decoded
  [1.5s] 13237 bytes, 81 packets decoded
  [1.5s] 13301 bytes, 81 packets decoded
  [1.5s] 13365 bytes, 81 packets decoded
  [1.5s] 13429 bytes, 81 packets decoded
  [1.5s] 13493 bytes, 81 packets decoded
  [1.5s] 13557 bytes, 81 packets decoded
  [1.5s] 13621 bytes, 81 packets decoded
  [1.5s] 13685 bytes, 82 packets decoded
  [1.5s] 13749 bytes, 82 packets decoded
  [1.5s] 13813 bytes, 82 packets decoded
  [1.5s] 13877 bytes, 82 packets decoded
  [1.5s] 13941 bytes, 83 packets decoded
  [1.5s] 14005 bytes, 83 packets decoded
  [1.5s] 14069 bytes, 83 packets decoded
  [1.5s] 14133 bytes, 83 packets decoded
  [1.5s] 14197 bytes, 83 packets decoded
  [1.5s] 14261 bytes, 84 packets decoded
  [1.5s] 14325 bytes, 84 packets decoded
  [1.5s] 14389 bytes, 84 packets decoded
  [1.5s] 14453 bytes, 84 packets decoded
  [1.5s] 14517 bytes, 84 packets decoded
  [1.5s] 14581 bytes, 84 packets decoded
  [1.5s] 14645 bytes, 84 packets decoded
  [1.5s] 14709 bytes, 85 packets decoded
  [1.5s] 14773 bytes, 85 packets decoded
  [1.5s] 14837 bytes, 85 packets decoded
  [1.5s] 14901 bytes, 86 packets decoded
  [1.5s] 14965 bytes, 86 packets decoded
  [1.5s] 15029 bytes, 86 packets decoded
  [1.5s] 15093 bytes, 86 packets decoded
  [1.5s] 15157 bytes, 86 packets decoded
  [1.5s] 15221 bytes, 87 packets decoded
  [1.5s] 15285 bytes, 87 packets decoded
  [1.5s] 15349 bytes, 87 packets decoded
  [1.5s] 15413 bytes, 88 packets decoded
  [1.5s] 15477 bytes, 89 packets decoded
  [1.5s] 15541 bytes, 89 packets decoded
  [1.5s] 15605 bytes, 89 packets decoded
  [1.5s] 15669 bytes, 89 packets decoded
  [1.5s] 15733 bytes, 89 packets decoded
  [1.5s] 15797 bytes, 90 packets decoded
  [1.5s] 15861 bytes, 90 packets decoded
  [1.5s] 15925 bytes, 91 packets decoded
  [1.5s] 15989 bytes, 92 packets decoded
  [1.5s] 16053 bytes, 92 packets decoded
  [1.5s] 16117 bytes, 92 packets decoded
  [1.5s] 16181 bytes, 92 packets decoded
  [1.5s] 16245 bytes, 92 packets decoded
  [1.5s] 16309 bytes, 92 packets decoded
  [1.5s] 16373 bytes, 92 packets decoded
  [1.5s] 16437 bytes, 93 packets decoded
  [1.5s] 16501 bytes, 93 packets decoded
  [1.5s] 16565 bytes, 93 packets decoded
  [1.6s] 16587 bytes, 94 packets decoded
  [2.3s] 16651 bytes, 94 packets decoded
  [2.3s] 16715 bytes, 94 packets decoded
  [2.3s] 16779 bytes, 94 packets decoded
  [2.3s] 16843 bytes, 94 packets decoded
  [2.3s] 16907 bytes, 94 packets decoded
  [2.3s] 16971 bytes, 94 packets decoded
  [2.3s] 17035 bytes, 94 packets decoded
  [2.3s] 17099 bytes, 94 packets decoded
  [2.3s] 17163 bytes, 94 packets decoded
  [2.3s] 17227 bytes, 94 packets decoded
  [2.3s] 17291 bytes, 94 packets decoded
  [2.3s] 17355 bytes, 94 packets decoded
  [2.3s] 17419 bytes, 94 packets decoded
  [2.3s] 17483 bytes, 94 packets decoded
  [2.3s] 17547 bytes, 94 packets decoded
  [2.3s] 17611 bytes, 94 packets decoded
  [2.3s] 17675 bytes, 94 packets decoded
  [2.3s] 17739 bytes, 94 packets decoded
  [2.3s] 17803 bytes, 94 packets decoded
  [2.3s] 17867 bytes, 94 packets decoded
  [2.3s] 17931 bytes, 94 packets decoded
  [2.3s] 17995 bytes, 94 packets decoded
  [2.3s] 18059 bytes, 94 packets decoded
  [2.3s] 18123 bytes, 94 packets decoded
  [2.3s] 18187 bytes, 94 packets decoded
  [2.3s] 18251 bytes, 94 packets decoded
  [2.3s] 18315 bytes, 94 packets decoded
  [2.3s] 18379 bytes, 94 packets decoded
  [2.3s] 18443 bytes, 94 packets decoded
  [2.3s] 18507 bytes, 95 packets decoded
  [2.3s] 18571 bytes, 95 packets decoded
  [2.3s] 18635 bytes, 95 packets decoded
  [2.3s] 18699 bytes, 95 packets decoded
  [2.3s] 18763 bytes, 96 packets decoded
  [2.3s] 18827 bytes, 96 packets decoded
  [2.3s] 18891 bytes, 96 packets decoded
  [2.3s] 18955 bytes, 96 packets decoded
  [2.3s] 19019 bytes, 96 packets decoded
  [2.3s] 19083 bytes, 97 packets decoded
  [2.3s] 19147 bytes, 97 packets decoded
  [2.3s] 19211 bytes, 97 packets decoded
  [2.3s] 19275 bytes, 97 packets decoded
  [2.3s] 19339 bytes, 97 packets decoded
  [2.3s] 19403 bytes, 97 packets decoded
  [2.3s] 19467 bytes, 97 packets decoded
  [2.3s] 19531 bytes, 97 packets decoded
  [2.3s] 19595 bytes, 97 packets decoded
  [2.3s] 19659 bytes, 97 packets decoded
  [2.3s] 19723 bytes, 97 packets decoded
  [2.3s] 19787 bytes, 97 packets decoded
  [2.3s] 19851 bytes, 98 packets decoded
  [2.3s] 19915 bytes, 98 packets decoded
  [2.3s] 19979 bytes, 98 packets decoded
  [2.3s] 20043 bytes, 98 packets decoded
  [2.3s] 20107 bytes, 98 packets decoded
  [2.3s] 20171 bytes, 99 packets decoded
  [2.3s] 20235 bytes, 100 packets decoded
  [2.3s] 20299 bytes, 101 packets decoded
  [2.3s] 20363 bytes, 101 packets decoded
  [2.3s] 20427 bytes, 101 packets decoded
  [2.3s] 20491 bytes, 101 packets decoded
  [2.3s] 20555 bytes, 101 packets decoded
  [2.3s] 20619 bytes, 102 packets decoded
  [2.3s] 20683 bytes, 102 packets decoded
  [2.3s] 20747 bytes, 102 packets decoded
  [2.3s] 20811 bytes, 102 packets decoded
  [2.3s] 20875 bytes, 102 packets decoded
  [2.3s] 20939 bytes, 103 packets decoded
  [2.3s] 21003 bytes, 103 packets decoded
  [2.3s] 21067 bytes, 103 packets decoded
  [2.3s] 21131 bytes, 104 packets decoded
  [2.3s] 21195 bytes, 104 packets decoded
  [2.3s] 21259 bytes, 104 packets decoded
  [2.3s] 21323 bytes, 104 packets decoded
  [2.3s] 21387 bytes, 104 packets decoded
  [2.3s] 21451 bytes, 104 packets decoded
  [2.4s] 21481 bytes, 105 packets decoded
  [4.4s] 21545 bytes, 105 packets decoded
  [4.4s] 21609 bytes, 106 packets decoded
  [4.4s] 21673 bytes, 106 packets decoded
  [4.4s] 21737 bytes, 107 packets decoded
  [4.4s] 21801 bytes, 107 packets decoded
  [4.4s] 21865 bytes, 108 packets decoded
  [4.4s] 21929 bytes, 109 packets decoded
  [4.4s] 21993 bytes, 110 packets decoded
  [4.4s] 22057 bytes, 110 packets decoded
  [4.4s] 22121 bytes, 110 packets decoded
  [4.4s] 22185 bytes, 111 packets decoded
  [4.4s] 22249 bytes, 111 packets decoded
  [4.4s] 22313 bytes, 111 packets decoded
  [4.4s] 22377 bytes, 112 packets decoded
  [4.4s] 22441 bytes, 112 packets decoded
  [4.4s] 22505 bytes, 113 packets decoded
  [4.4s] 22569 bytes, 114 packets decoded
  [4.4s] 22633 bytes, 114 packets decoded
  [4.4s] 22697 bytes, 115 packets decoded
  [4.4s] 22761 bytes, 116 packets decoded
  [4.4s] 22825 bytes, 117 packets decoded
  [4.4s] 22889 bytes, 118 packets decoded
  [4.4s] 22953 bytes, 119 packets decoded
  [4.4s] 23017 bytes, 119 packets decoded
  [4.4s] 23081 bytes, 120 packets decoded
  [4.4s] 23145 bytes, 121 packets decoded
  [4.4s] 23209 bytes, 122 packets decoded
  [4.4s] 23273 bytes, 122 packets decoded
  [4.4s] 23337 bytes, 122 packets decoded
  [4.4s] 23401 bytes, 123 packets decoded
  [4.4s] 23465 bytes, 123 packets decoded
  [4.4s] 23529 bytes, 124 packets decoded
  [4.4s] 23593 bytes, 124 packets decoded
  [4.4s] 23657 bytes, 124 packets decoded
  [4.4s] 23721 bytes, 124 packets decoded
  [4.4s] 23785 bytes, 124 packets decoded
  [4.4s] 23849 bytes, 125 packets decoded
  [4.4s] 23913 bytes, 125 packets decoded
  [4.4s] 23977 bytes, 126 packets decoded
  [4.4s] 24041 bytes, 126 packets decoded
  [4.4s] 24105 bytes, 126 packets decoded
  [4.4s] 24169 bytes, 126 packets decoded
  [4.4s] 24233 bytes, 126 packets decoded
  [4.4s] 24297 bytes, 126 packets decoded
  [4.4s] 24361 bytes, 127 packets decoded
  [4.4s] 24425 bytes, 127 packets decoded
  [4.4s] 24489 bytes, 127 packets decoded
  [4.4s] 24553 bytes, 128 packets decoded
  [4.4s] 24617 bytes, 128 packets decoded
  [4.4s] 24681 bytes, 129 packets decoded
  [4.4s] 24745 bytes, 129 packets decoded
  [4.4s] 24809 bytes, 129 packets decoded
  [4.4s] 24873 bytes, 129 packets decoded
  [4.4s] 24937 bytes, 129 packets decoded
  [4.4s] 25001 bytes, 129 packets decoded
  [4.4s] 25065 bytes, 130 packets decoded
  [4.4s] 25129 bytes, 130 packets decoded
  [4.4s] 25193 bytes, 130 packets decoded
  [4.4s] 25257 bytes, 130 packets decoded
  [4.4s] 25321 bytes, 131 packets decoded
  [4.4s] 25385 bytes, 131 packets decoded
  [4.5s] 25449 bytes, 131 packets decoded
  [4.5s] 25513 bytes, 131 packets decoded
  [4.5s] 25577 bytes, 131 packets decoded
  [4.5s] 25641 bytes, 132 packets decoded
  [4.5s] 25705 bytes, 132 packets decoded
  [4.5s] 25769 bytes, 133 packets decoded
  [4.5s] 25833 bytes, 133 packets decoded
  [4.5s] 25897 bytes, 133 packets decoded
  [4.5s] 25961 bytes, 133 packets decoded
  [4.5s] 26025 bytes, 134 packets decoded
  [4.5s] 26089 bytes, 134 packets decoded
  [4.5s] 26153 bytes, 134 packets decoded
  [4.5s] 26217 bytes, 135 packets decoded
  [4.5s] 26281 bytes, 135 packets decoded
  [4.5s] 26345 bytes, 136 packets decoded
  [4.5s] 26409 bytes, 137 packets decoded
  [4.5s] 26473 bytes, 138 packets decoded
  [4.5s] 26537 bytes, 138 packets decoded
  [4.5s] 26601 bytes, 138 packets decoded
  [4.5s] 26665 bytes, 139 packets decoded
  [4.5s] 26729 bytes, 139 packets decoded
  [4.5s] 26793 bytes, 140 packets decoded
  [4.5s] 26857 bytes, 140 packets decoded
  [4.5s] 26921 bytes, 141 packets decoded
  [4.5s] 26985 bytes, 141 packets decoded
  [4.5s] 27049 bytes, 141 packets decoded
  [4.5s] 27113 bytes, 141 packets decoded
  [4.5s] 27177 bytes, 142 packets decoded
  [4.5s] 27241 bytes, 142 packets decoded
  [4.5s] 27305 bytes, 142 packets decoded
  [4.5s] 27369 bytes, 142 packets decoded
  [4.5s] 27433 bytes, 142 packets decoded
  [4.5s] 27497 bytes, 142 packets decoded
  [4.5s] 27561 bytes, 143 packets decoded
  [4.5s] 27625 bytes, 144 packets decoded
  [4.5s] 27689 bytes, 145 packets decoded
  [4.5s] 27753 bytes, 146 packets decoded
  [4.5s] 27817 bytes, 146 packets decoded
  [4.5s] 27881 bytes, 147 packets decoded
  [4.5s] 27945 bytes, 147 packets decoded
  [4.5s] 28009 bytes, 147 packets decoded
  [4.5s] 28073 bytes, 148 packets decoded
  [4.5s] 28137 bytes, 149 packets decoded
  [4.5s] 28201 bytes, 150 packets decoded
  [4.5s] 28265 bytes, 151 packets decoded
  [4.5s] 28329 bytes, 152 packets decoded
  [4.5s] 28393 bytes, 152 packets decoded
  [4.5s] 28457 bytes, 153 packets decoded
  [4.5s] 28521 bytes, 153 packets decoded
  [4.5s] 28585 bytes, 153 packets decoded
  [4.5s] 28649 bytes, 153 packets decoded
  [4.5s] 28713 bytes, 153 packets decoded
  [4.5s] 28777 bytes, 153 packets decoded
  [4.5s] 28841 bytes, 153 packets decoded
  [4.5s] 28905 bytes, 153 packets decoded
  [4.5s] 28969 bytes, 153 packets decoded
  [4.5s] 29033 bytes, 153 packets decoded
  [4.5s] 29097 bytes, 153 packets decoded
  [4.5s] 29161 bytes, 153 packets decoded
  [4.5s] 29225 bytes, 153 packets decoded
  [4.5s] 29289 bytes, 153 packets decoded
  [4.5s] 29353 bytes, 154 packets decoded
  [4.5s] 29417 bytes, 154 packets decoded
  [4.5s] 29481 bytes, 155 packets decoded
