Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_162348/scenario_4_VoiceCall.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_162348/scenario_4_VoiceCall.mi2log

  [3.0s] 27733 bytes, 158 packets decoded
  [3.0s] 27797 bytes, 158 packets decoded
  [3.0s] 27861 bytes, 159 packets decoded
  [3.0s] 27925 bytes, 160 packets decoded
  [3.0s] 27989 bytes, 161 packets decoded
  [3.1s] 28051 bytes, 162 packets decoded
  [3.3s] 28115 bytes, 163 packets decoded
  [3.3s] 28179 bytes, 163 packets decoded
  [3.4s] 28241 bytes, 164 packets decoded
  [4.3s] 28305 bytes, 164 packets decoded
  [4.3s] 28369 bytes, 165 packets decoded
  [4.3s] 28433 bytes, 165 packets decoded
  [4.3s] 28497 bytes, 165 packets decoded
  [4.3s] 28561 bytes, 165 packets decoded
  [4.3s] 28625 bytes, 165 packets decoded
  [4.3s] 28689 bytes, 166 packets decoded
  [4.3s] 28753 bytes, 167 packets decoded
  [4.3s] 28817 bytes, 167 packets decoded
  [4.3s] 28881 bytes, 168 packets decoded
  [4.3s] 28945 bytes, 169 packets decoded
  [4.3s] 29009 bytes, 169 packets decoded
  [4.3s] 29073 bytes, 170 packets decoded
  [4.3s] 29137 bytes, 170 packets decoded
  [4.3s] 29201 bytes, 171 packets decoded
  [4.3s] 29265 bytes, 171 packets decoded
  [4.3s] 29329 bytes, 172 packets decoded
  [4.3s] 29393 bytes, 172 packets decoded
  [4.3s] 29457 bytes, 173 packets decoded
  [4.3s] 29521 bytes, 174 packets decoded
  [4.3s] 29585 bytes, 175 packets decoded
  [4.3s] 29649 bytes, 175 packets decoded
  [4.3s] 29713 bytes, 176 packets decoded
  [4.3s] 29777 bytes, 176 packets decoded
  [4.3s] 29841 bytes, 176 packets decoded
  [4.3s] 29905 bytes, 177 packets decoded
  [4.3s] 29969 bytes, 177 packets decoded
  [4.3s] 30033 bytes, 177 packets decoded
  [4.3s] 30097 bytes, 178 packets decoded
  [4.3s] 30161 bytes, 178 packets decoded
  [4.3s] 30225 bytes, 178 packets decoded
  [4.3s] 30289 bytes, 178 packets decoded
  [4.3s] 30353 bytes, 178 packets decoded
  [4.3s] 30417 bytes, 178 packets decoded
  [4.3s] 30481 bytes, 179 packets decoded
  [4.3s] 30545 bytes, 179 packets decoded
  [4.3s] 30609 bytes, 179 packets decoded
  [4.4s] 30633 bytes, 180 packets decoded
  [7.2s] 30697 bytes, 180 packets decoded
  [7.2s] 30761 bytes, 181 packets decoded
  [7.2s] 30825 bytes, 181 packets decoded
  [7.2s] 30889 bytes, 182 packets decoded
  [7.2s] 30953 bytes, 182 packets decoded
  [7.2s] 31017 bytes, 183 packets decoded
  [7.2s] 31081 bytes, 184 packets decoded
  [7.2s] 31145 bytes, 185 packets decoded
  [7.2s] 31209 bytes, 185 packets decoded
  [7.2s] 31273 bytes, 185 packets decoded
  [7.2s] 31337 bytes, 185 packets decoded
  [7.2s] 31401 bytes, 186 packets decoded
  [7.2s] 31465 bytes, 186 packets decoded
  [7.2s] 31529 bytes, 186 packets decoded
  [7.2s] 31593 bytes, 187 packets decoded
  [7.2s] 31657 bytes, 187 packets decoded
  [7.2s] 31721 bytes, 188 packets decoded
  [7.2s] 31785 bytes, 189 packets decoded
  [7.2s] 31849 bytes, 189 packets decoded
  [7.2s] 31913 bytes, 189 packets decoded
  [7.2s] 31977 bytes, 189 packets decoded
  [7.2s] 32041 bytes, 190 packets decoded
  [7.2s] 32105 bytes, 191 packets decoded
  [7.2s] 32169 bytes, 192 packets decoded
  [7.2s] 32233 bytes, 193 packets decoded
  [7.2s] 32297 bytes, 194 packets decoded
  [7.2s] 32361 bytes, 195 packets decoded
  [7.2s] 32425 bytes, 196 packets decoded
  [7.2s] 32489 bytes, 196 packets decoded
  [7.2s] 32553 bytes, 197 packets decoded
  [7.2s] 32617 bytes, 197 packets decoded
  [7.2s] 32681 bytes, 197 packets decoded
  [7.2s] 32745 bytes, 197 packets decoded
  [7.2s] 32809 bytes, 198 packets decoded
  [7.2s] 32873 bytes, 198 packets decoded
  [7.2s] 32937 bytes, 198 packets decoded
  [7.2s] 33001 bytes, 199 packets decoded
  [7.2s] 33065 bytes, 199 packets decoded
  [7.2s] 33129 bytes, 199 packets decoded
  [7.2s] 33193 bytes, 199 packets decoded
  [7.2s] 33257 bytes, 200 packets decoded
  [7.2s] 33321 bytes, 200 packets decoded
  [7.2s] 33385 bytes, 201 packets decoded
  [7.2s] 33449 bytes, 201 packets decoded
  [7.2s] 33513 bytes, 201 packets decoded
  [7.2s] 33577 bytes, 201 packets decoded
  [7.2s] 33641 bytes, 201 packets decoded
  [7.2s] 33705 bytes, 202 packets decoded
  [7.2s] 33769 bytes, 202 packets decoded
  [7.2s] 33833 bytes, 203 packets decoded
  [7.2s] 33897 bytes, 203 packets decoded
  [7.2s] 33961 bytes, 203 packets decoded
  [7.2s] 34025 bytes, 203 packets decoded
  [7.2s] 34089 bytes, 203 packets decoded
  [7.2s] 34153 bytes, 204 packets decoded
  [7.2s] 34217 bytes, 204 packets decoded
  [7.2s] 34281 bytes, 204 packets decoded
  [7.2s] 34345 bytes, 204 packets decoded
  [7.2s] 34409 bytes, 205 packets decoded
  [7.2s] 34473 bytes, 205 packets decoded
  [7.2s] 34537 bytes, 205 packets decoded
  [7.2s] 34601 bytes, 205 packets decoded
  [7.2s] 34665 bytes, 205 packets decoded
  [7.2s] 34729 bytes, 206 packets decoded
  [7.2s] 34793 bytes, 206 packets decoded
  [7.2s] 34857 bytes, 207 packets decoded
  [7.2s] 34921 bytes, 207 packets decoded
  [7.2s] 34985 bytes, 208 packets decoded
  [7.2s] 35049 bytes, 208 packets decoded
  [7.2s] 35113 bytes, 209 packets decoded
  [7.2s] 35177 bytes, 209 packets decoded
  [7.2s] 35241 bytes, 209 packets decoded
  [7.2s] 35305 bytes, 210 packets decoded
  [7.2s] 35369 bytes, 210 packets decoded
  [7.2s] 35433 bytes, 211 packets decoded
  [7.2s] 35497 bytes, 211 packets decoded
  [7.2s] 35561 bytes, 211 packets decoded
  [7.2s] 35625 bytes, 211 packets decoded
  [7.2s] 35689 bytes, 211 packets decoded
  [7.2s] 35753 bytes, 212 packets decoded
  [7.2s] 35817 bytes, 212 packets decoded
