PING 8.8.8.8 (8.8.8.8) 1400(1428) bytes of data.
1408 bytes from 8.8.8.8: icmp_seq=104 ttl=116 time=39.2 ms
1408 bytes from 8.8.8.8: icmp_seq=105 ttl=116 time=33.9 ms
1408 bytes from 8.8.8.8: icmp_seq=106 ttl=116 time=37.9 ms
1408 bytes from 8.8.8.8: icmp_seq=107 ttl=116 time=29.2 ms
1408 bytes from 8.8.8.8: icmp_seq=108 ttl=116 time=64.1 ms
1408 bytes from 8.8.8.8: icmp_seq=109 ttl=116 time=26.8 ms
1408 bytes from 8.8.8.8: icmp_seq=110 ttl=116 time=26.1 ms
1408 bytes from 8.8.8.8: icmp_seq=111 ttl=116 time=26.0 ms
1408 bytes from 8.8.8.8: icmp_seq=112 ttl=116 time=33.2 ms
1408 bytes from 8.8.8.8: icmp_seq=113 ttl=116 time=29.6 ms
1408 bytes from 8.8.8.8: icmp_seq=114 ttl=116 time=27.3 ms
1408 bytes from 8.8.8.8: icmp_seq=115 ttl=116 time=32.9 ms
1408 bytes from 8.8.8.8: icmp_seq=116 ttl=116 time=31.5 ms
1408 bytes from 8.8.8.8: icmp_seq=117 ttl=116 time=24.2 ms
1408 bytes from 8.8.8.8: icmp_seq=118 ttl=116 time=37.3 ms
1408 bytes from 8.8.8.8: icmp_seq=119 ttl=116 time=40.9 ms
1408 bytes from 8.8.8.8: icmp_seq=120 ttl=116 time=35.2 ms
1408 bytes from 8.8.8.8: icmp_seq=121 ttl=116 time=24.9 ms
1408 bytes from 8.8.8.8: icmp_seq=122 ttl=116 time=31.1 ms
1408 bytes from 8.8.8.8: icmp_seq=123 ttl=116 time=30.2 ms
1408 bytes from 8.8.8.8: icmp_seq=124 ttl=116 time=27.9 ms
1408 bytes from 8.8.8.8: icmp_seq=125 ttl=116 time=27.0 ms
1408 bytes from 8.8.8.8: icmp_seq=126 ttl=116 time=25.2 ms
1408 bytes from 8.8.8.8: icmp_seq=127 ttl=116 time=26.3 ms
1408 bytes from 8.8.8.8: icmp_seq=128 ttl=116 time=29.4 ms
1408 bytes from 8.8.8.8: icmp_seq=129 ttl=116 time=29.5 ms
1408 bytes from 8.8.8.8: icmp_seq=130 ttl=116 time=35.1 ms
1408 bytes from 8.8.8.8: icmp_seq=131 ttl=116 time=26.0 ms
1408 bytes from 8.8.8.8: icmp_seq=132 ttl=116 time=30.3 ms
1408 bytes from 8.8.8.8: icmp_seq=133 ttl=116 time=31.8 ms
1408 bytes from 8.8.8.8: icmp_seq=134 ttl=116 time=28.0 ms
1408 bytes from 8.8.8.8: icmp_seq=135 ttl=116 time=35.2 ms
1408 bytes from 8.8.8.8: icmp_seq=136 ttl=116 time=30.7 ms
1408 bytes from 8.8.8.8: icmp_seq=137 ttl=116 time=28.3 ms
1408 bytes from 8.8.8.8: icmp_seq=138 ttl=116 time=37.2 ms
1408 bytes from 8.8.8.8: icmp_seq=139 ttl=116 time=28.1 ms
1408 bytes from 8.8.8.8: icmp_seq=140 ttl=116 time=31.4 ms
1408 bytes from 8.8.8.8: icmp_seq=141 ttl=116 time=34.9 ms
1408 bytes from 8.8.8.8: icmp_seq=142 ttl=116 time=40.7 ms
1408 bytes from 8.8.8.8: icmp_seq=143 ttl=116 time=41.7 ms
1408 bytes from 8.8.8.8: icmp_seq=144 ttl=116 time=32.8 ms
