Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_163551/scenario_1_Browsing.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_163551/scenario_1_Browsing.mi2log

  [2.2s] 12814 bytes, 72 packets decoded
  [2.2s] 12878 bytes, 72 packets decoded
  [2.2s] 12942 bytes, 73 packets decoded
  [2.2s] 13006 bytes, 73 packets decoded
  [2.2s] 13070 bytes, 74 packets decoded
  [2.2s] 13134 bytes, 75 packets decoded
  [2.2s] 13198 bytes, 75 packets decoded
  [2.2s] 13262 bytes, 75 packets decoded
  [2.2s] 13326 bytes, 75 packets decoded
  [2.2s] 13390 bytes, 75 packets decoded
  [2.2s] 13454 bytes, 76 packets decoded
  [2.2s] 13518 bytes, 77 packets decoded
  [2.2s] 13582 bytes, 78 packets decoded
  [2.2s] 13646 bytes, 78 packets decoded
  [2.2s] 13710 bytes, 78 packets decoded
  [2.2s] 13774 bytes, 78 packets decoded
  [2.2s] 13838 bytes, 78 packets decoded
  [2.2s] 13902 bytes, 79 packets decoded
  [2.2s] 13966 bytes, 79 packets decoded
  [2.2s] 14030 bytes, 80 packets decoded
  [2.2s] 14094 bytes, 81 packets decoded
  [2.2s] 14158 bytes, 82 packets decoded
  [2.2s] 14222 bytes, 82 packets decoded
  [2.2s] 14286 bytes, 83 packets decoded
  [2.2s] 14350 bytes, 83 packets decoded
  [2.2s] 14414 bytes, 83 packets decoded
  [2.2s] 14478 bytes, 84 packets decoded
  [2.2s] 14542 bytes, 85 packets decoded
  [2.2s] 14606 bytes, 85 packets decoded
  [2.2s] 14670 bytes, 85 packets decoded
  [2.2s] 14734 bytes, 86 packets decoded
  [2.2s] 14798 bytes, 87 packets decoded
  [2.2s] 14862 bytes, 88 packets decoded
  [2.2s] 14926 bytes, 88 packets decoded
  [2.2s] 14990 bytes, 89 packets decoded
  [2.2s] 15054 bytes, 90 packets decoded
  [2.2s] 15118 bytes, 90 packets decoded
  [2.2s] 15182 bytes, 91 packets decoded
  [2.2s] 15246 bytes, 91 packets decoded
  [2.2s] 15310 bytes, 91 packets decoded
  [2.2s] 15374 bytes, 91 packets decoded
  [2.2s] 15438 bytes, 91 packets decoded
  [2.2s] 15502 bytes, 91 packets decoded
  [2.2s] 15566 bytes, 92 packets decoded
  [2.2s] 15630 bytes, 92 packets decoded
  [2.2s] 15694 bytes, 93 packets decoded
  [2.2s] 15758 bytes, 93 packets decoded
  [2.2s] 15822 bytes, 94 packets decoded
  [2.2s] 15886 bytes, 94 packets decoded
  [2.2s] 15950 bytes, 95 packets decoded
  [2.2s] 16014 bytes, 95 packets decoded
  [2.2s] 16078 bytes, 95 packets decoded
  [2.2s] 16142 bytes, 95 packets decoded
  [2.2s] 16206 bytes, 95 packets decoded
  [2.2s] 16270 bytes, 95 packets decoded
  [2.2s] 16334 bytes, 95 packets decoded
  [2.2s] 16398 bytes, 95 packets decoded
  [2.2s] 16462 bytes, 95 packets decoded
  [2.2s] 16526 bytes, 95 packets decoded
  [2.2s] 16590 bytes, 95 packets decoded
  [2.2s] 16654 bytes, 95 packets decoded
  [2.2s] 16718 bytes, 95 packets decoded
  [2.2s] 16782 bytes, 95 packets decoded
  [2.2s] 16846 bytes, 95 packets decoded
  [2.2s] 16910 bytes, 95 packets decoded
  [2.2s] 16974 bytes, 95 packets decoded
  [2.2s] 17038 bytes, 95 packets decoded
  [2.2s] 17102 bytes, 95 packets decoded
  [2.2s] 17166 bytes, 95 packets decoded
  [2.2s] 17230 bytes, 95 packets decoded
  [2.2s] 17294 bytes, 95 packets decoded
  [2.2s] 17358 bytes, 95 packets decoded
  [2.2s] 17422 bytes, 95 packets decoded
  [2.2s] 17486 bytes, 95 packets decoded
  [2.2s] 17550 bytes, 95 packets decoded
  [2.2s] 17614 bytes, 95 packets decoded
  [2.2s] 17678 bytes, 95 packets decoded
  [2.2s] 17742 bytes, 95 packets decoded
  [2.2s] 17806 bytes, 95 packets decoded
  [2.2s] 17870 bytes, 95 packets decoded
  [2.2s] 17934 bytes, 96 packets decoded
  [2.2s] 17998 bytes, 96 packets decoded
  [2.2s] 18062 bytes, 96 packets decoded
  [2.2s] 18126 bytes, 96 packets decoded
  [2.2s] 18190 bytes, 96 packets decoded
  [2.2s] 18254 bytes, 96 packets decoded
  [2.2s] 18318 bytes, 96 packets decoded
  [2.2s] 18382 bytes, 97 packets decoded
  [2.2s] 18446 bytes, 97 packets decoded
  [2.2s] 18510 bytes, 98 packets decoded
  [2.2s] 18574 bytes, 98 packets decoded
  [2.2s] 18638 bytes, 99 packets decoded
  [2.2s] 18702 bytes, 99 packets decoded
  [2.2s] 18766 bytes, 99 packets decoded
  [2.2s] 18830 bytes, 99 packets decoded
  [2.2s] 18894 bytes, 99 packets decoded
  [2.2s] 18958 bytes, 99 packets decoded
  [2.2s] 19022 bytes, 99 packets decoded
  [2.2s] 19086 bytes, 100 packets decoded
  [2.2s] 19150 bytes, 101 packets decoded
  [2.2s] 19214 bytes, 101 packets decoded
  [2.2s] 19278 bytes, 101 packets decoded
  [2.2s] 19342 bytes, 101 packets decoded
  [2.2s] 19406 bytes, 101 packets decoded
  [2.2s] 19470 bytes, 101 packets decoded
  [2.2s] 19534 bytes, 101 packets decoded
  [2.2s] 19598 bytes, 101 packets decoded
  [2.2s] 19662 bytes, 101 packets decoded
  [2.2s] 19726 bytes, 101 packets decoded
  [2.2s] 19790 bytes, 101 packets decoded
  [2.2s] 19854 bytes, 101 packets decoded
  [2.2s] 19918 bytes, 101 packets decoded
  [2.2s] 19982 bytes, 101 packets decoded
  [2.2s] 20046 bytes, 101 packets decoded
  [2.2s] 20110 bytes, 102 packets decoded
  [2.2s] 20174 bytes, 102 packets decoded
  [2.2s] 20238 bytes, 102 packets decoded
  [2.2s] 20302 bytes, 102 packets decoded
  [2.2s] 20366 bytes, 102 packets decoded
  [2.2s] 20430 bytes, 102 packets decoded
  [2.2s] 20494 bytes, 102 packets decoded
  [2.2s] 20558 bytes, 103 packets decoded
  [2.2s] 20622 bytes, 104 packets decoded
  [2.2s] 20686 bytes, 104 packets decoded
  [2.2s] 20750 bytes, 104 packets decoded
  [2.2s] 20814 bytes, 104 packets decoded
  [2.2s] 20878 bytes, 104 packets decoded
  [2.2s] 20942 bytes, 104 packets decoded
  [2.2s] 21006 bytes, 105 packets decoded
  [2.2s] 21070 bytes, 105 packets decoded
  [2.2s] 21134 bytes, 105 packets decoded
  [2.2s] 21198 bytes, 106 packets decoded
  [2.2s] 21262 bytes, 106 packets decoded
  [2.2s] 21326 bytes, 107 packets decoded
  [2.2s] 21390 bytes, 108 packets decoded
  [2.2s] 21454 bytes, 108 packets decoded
  [2.2s] 21518 bytes, 109 packets decoded
  [2.2s] 21582 bytes, 109 packets decoded
  [2.2s] 21646 bytes, 110 packets decoded
  [2.2s] 21710 bytes, 110 packets decoded
  [2.2s] 21774 bytes, 111 packets decoded
  [2.2s] 21838 bytes, 111 packets decoded
  [2.2s] 21902 bytes, 112 packets decoded
  [2.2s] 21966 bytes, 112 packets decoded
  [2.2s] 22030 bytes, 112 packets decoded
  [2.2s] 22094 bytes, 112 packets decoded
  [2.3s] 22096 bytes, 113 packets decoded
  [3.1s] 22160 bytes, 113 packets decoded
  [3.1s] 22224 bytes, 113 packets decoded
  [3.1s] 22288 bytes, 114 packets decoded
  [3.1s] 22352 bytes, 114 packets decoded
  [3.1s] 22416 bytes, 114 packets decoded
  [3.1s] 22480 bytes, 114 packets decoded
  [3.1s] 22544 bytes, 114 packets decoded
  [3.1s] 22608 bytes, 114 packets decoded
  [3.1s] 22672 bytes, 115 packets decoded
  [3.1s] 22736 bytes, 115 packets decoded
  [3.1s] 22800 bytes, 115 packets decoded
  [3.1s] 22864 bytes, 116 packets decoded
  [3.1s] 22928 bytes, 117 packets decoded
  [3.1s] 22992 bytes, 117 packets decoded
  [3.1s] 23056 bytes, 118 packets decoded
  [3.1s] 23120 bytes, 118 packets decoded
  [3.1s] 23184 bytes, 119 packets decoded
  [3.1s] 23248 bytes, 119 packets decoded
  [3.1s] 23312 bytes, 119 packets decoded
  [3.1s] 23376 bytes, 120 packets decoded
  [3.1s] 23440 bytes, 121 packets decoded
  [3.1s] 23504 bytes, 121 packets decoded
  [3.1s] 23568 bytes, 121 packets decoded
  [3.1s] 23632 bytes, 122 packets decoded
  [3.1s] 23696 bytes, 123 packets decoded
  [3.1s] 23760 bytes, 124 packets decoded
  [3.1s] 23824 bytes, 125 packets decoded
  [3.1s] 23888 bytes, 126 packets decoded
  [3.1s] 23952 bytes, 126 packets decoded
  [3.1s] 24016 bytes, 127 packets decoded
  [3.1s] 24080 bytes, 127 packets decoded
  [3.1s] 24144 bytes, 128 packets decoded
  [3.1s] 24208 bytes, 129 packets decoded
  [3.1s] 24272 bytes, 130 packets decoded
  [3.1s] 24336 bytes, 131 packets decoded
  [3.1s] 24400 bytes, 131 packets decoded
  [3.1s] 24464 bytes, 132 packets decoded
  [3.1s] 24528 bytes, 133 packets decoded
  [3.1s] 24592 bytes, 134 packets decoded
  [3.1s] 24656 bytes, 135 packets decoded
  [3.1s] 24720 bytes, 135 packets decoded
  [3.1s] 24784 bytes, 136 packets decoded
  [3.1s] 24848 bytes, 136 packets decoded
  [3.1s] 24912 bytes, 137 packets decoded
  [3.1s] 24976 bytes, 138 packets decoded
  [3.1s] 25040 bytes, 139 packets decoded
  [3.1s] 25104 bytes, 140 packets decoded
  [3.1s] 25168 bytes, 141 packets decoded
  [3.1s] 25232 bytes, 141 packets decoded
  [3.1s] 25296 bytes, 142 packets decoded
  [3.1s] 25360 bytes, 143 packets decoded
  [3.1s] 25424 bytes, 144 packets decoded
  [3.1s] 25488 bytes, 144 packets decoded
  [3.1s] 25552 bytes, 145 packets decoded
  [3.1s] 25616 bytes, 145 packets decoded
  [3.1s] 25680 bytes, 146 packets decoded
  [3.1s] 25744 bytes, 146 packets decoded
  [3.1s] 25808 bytes, 146 packets decoded
  [3.1s] 25872 bytes, 147 packets decoded
  [3.1s] 25936 bytes, 148 packets decoded
  [3.1s] 26000 bytes, 149 packets decoded
  [3.1s] 26064 bytes, 150 packets decoded
  [3.1s] 26128 bytes, 151 packets decoded
  [3.1s] 26192 bytes, 151 packets decoded
  [3.1s] 26256 bytes, 152 packets decoded
  [3.1s] 26320 bytes, 153 packets decoded
  [3.1s] 26384 bytes, 153 packets decoded
  [3.1s] 26448 bytes, 154 packets decoded
  [3.1s] 26512 bytes, 154 packets decoded
  [3.1s] 26576 bytes, 155 packets decoded
  [3.2s] 26590 bytes, 156 packets decoded
  [3.5s] 26654 bytes, 156 packets decoded
  [3.5s] 26718 bytes, 156 packets decoded
  [3.5s] 26782 bytes, 157 packets decoded
  [3.6s] 26839 bytes, 158 packets decoded
  [5.3s] 26903 bytes, 159 packets decoded
  [5.3s] 26967 bytes, 160 packets decoded
  [5.3s] 27031 bytes, 161 packets decoded
  [5.3s] 27095 bytes, 161 packets decoded
  [5.3s] 27159 bytes, 161 packets decoded
  [5.3s] 27223 bytes, 162 packets decoded
  [5.3s] 27287 bytes, 162 packets decoded
  [5.3s] 27351 bytes, 163 packets decoded
  [5.3s] 27415 bytes, 164 packets decoded
